"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Name 1","Old Health Facility Name 2","Old Health Facility Name 3","Facility Major Type","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Service Capability","Bed Capacity","Licensing Status","License Validity Date"
"DOH000000000023903","23903","ABANGAY BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","TAPAZ","0601917000","ABANGAY","0601917001","5814","","","","","","","","0"," ",""
"DOH000000000013624","13624","ABIERA BARANGAY HEALTH STATION"," "," "," ","Health Facility","Barangay Health Station","Government","Local Government Unit",""," "," ","REGION VI (WESTERN VISAYAS)","0600000000","ANTIQUE","0600600000","SEBASTE","0600615000","ABIERA","0600615001","5709"," "," "," "," "," "," ","","0"," ",""
"DOH000000000017358","17358","ABILAY NORTE BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","RIZAL AVENUE","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","OTON","0603034000","ABILAY NORTE","0603034001","5020","","","","","","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000047010","47010","ABILAY SUR BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","OTON","0603034000","ABILAY SUR","0603034002","5020","","","","","","","","0"," ",""
"DOH000000000017904","17904","ABONG BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","PUROK 3","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CARLES","0603014000","ABONG","0603014001","5019","","","","","","","","0"," ",""
"DOH000000000018289","18289","ACAO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CABATUAN","0603012000","ACAO","0603012001","5031","","","","","","","","0"," ",""
"DOH000000000009163","9163","ACBO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","SIGMA","0601916000","ACBO","0601916001","5816","","","","","","","","0"," ",""
"DOH000000000018658","18658","ACUIT BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","BAROTAC NUEVO","0603007000","ACUIT","0603007001","5007","+63 333612882","","","","","","","0"," ",""
"DOH000000000023904","23904","ACUÑA BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","TAPAZ","0601917000","ACU?A","0601917002","5814","","","","","","","","0"," ",""
"DOH000000000016482","16482","ADGAO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","TUBUNGAN","0603046000","ADGAO","0603046001","5027","+639171609088","","","","","","","0"," ",""
